"fYear","Region","Quarter","fAGE","Prob_West","SE","N"
"2017","WATL","Q4","'9+",0.666888115020276,0.0130419081099923,515
"2018","WATL","Q4","'9+",0.645603539658029,0.0122562093653844,732
"2019","WATL","Q4","'9+",0.684113582791032,0.0125683994068075,529
"2020","WATL","Q4","'9+",0.693707346784963,0.0151235452435967,319
"2021","WATL","Q4","'9+",0.684670749313714,0.0106867263595957,927
"2016","WATL","Q4","'9+",0.537100575220224,0.0156711771655603,491
"2014","WATL","Q4","'9+",0.578700339734151,0.0373362971618902,46
"2015","WATL","Q4","'9+",0.618536993525161,0.02969468627843,86
"2013","WATL","Q4","'9+",0.650204062197697,0.0299826740681053,147
"2011","WATL","Q4","'9+",0.621940252958677,0.041757390763297,31
"2012","WATL","Q4","'9+",0.617532412632193,0.0481741399303103,1
"2010","WATL","Q4","'9+",0.623673270944925,0.0592942937224597,1
"2007","WATL","Q4","'9+",0.625001942430294,0.0658000877747095,2
"2009","WATL","Q4","'9+",0.624250749008439,0.0626717487663996,1
"2017","EATL","Q4","'9+",0.222994699522846,0.0227490955945718,70
"2018","EATL","Q4","'9+",0.212669741274015,0.0239079136184949,48
"2021","EATL","Q4","'9+",0.206553785701513,0.040146729361986,1
"2016","EATL","Q4","'9+",0.205336656759303,0.0195587141783406,102
"2014","EATL","Q4","'9+",0.219252140860535,0.0223084457547056,80
"2015","EATL","Q4","'9+",0.231456711020275,0.022389955650541,93
"2013","EATL","Q4","'9+",0.224038571556941,0.0228747935936326,102
"2011","EATL","Q4","'9+",0.201807533876456,0.0230226401619782,78
"2012","EATL","Q4","'9+",0.239674329398669,0.023153891559805,116
"2023","EATL","Q4","'9+",0.210037522711922,0.0356490474507057,6
"2022","EATL","Q4","'9+",0.208853471791204,0.0367994945163181,6
"2017","WATL","Q4","'0-4",0.633583178335246,0.0469075547211777,5
"2018","WATL","Q4","'0-4",0.644804892700008,0.051898888140018,2
"2021","WATL","Q4","'0-4",0.666767799076471,0.0458750175674652,3
"2016","WATL","Q4","'0-4",0.535104365920224,0.0490993471738831,1
"2017","EATL","Q4","'0-4",0.210797527779735,0.0484841216710096,5
"2021","EATL","Q4","'0-4",0.207777969068354,0.0424178160540186,15
"2016","EATL","Q4","'0-4",0.211206295622972,0.0482977524739122,6
"2013","EATL","Q4","'0-4",0.212446559332688,0.0436291451786375,18
"2012","EATL","Q4","'0-4",0.214171085890061,0.0360454470886697,21
"2023","EATL","Q4","'0-4",0.192665171959694,0.0351395294979378,7
"2022","MED","Q4","'0-4",0.0346582916541092,0.00943097349134905,7
"2017","WATL","Q2","'5-8",0.608012335623445,0.0427386776720408,12
"2018","WATL","Q2","'5-8",0.633101408341538,0.0425250151888435,2
"2019","WATL","Q2","'5-8",0.525178890734962,0.0410010044297813,52
"2020","WATL","Q2","'5-8",0.672018277558379,0.0395285399110653,9
"2021","WATL","Q2","'5-8",0.637641354654064,0.042956735461603,5
"2016","WATL","Q2","'5-8",0.544144249228055,0.0433148147270934,9
"2015","WATL","Q2","'5-8",0.638502687986342,0.0439733281391805,9
"2021","EATL","Q2","'5-8",0.221599713958709,0.0441305478264429,1
"2013","EATL","Q2","'5-8",0.257407104006433,0.0449025568976704,3
"2011","EATL","Q2","'5-8",0.253060211710099,0.0402201035289438,5
"2012","EATL","Q2","'5-8",0.243876244665581,0.0400093676435679,5
"2023","EATL","Q2","'5-8",0.206111648244648,0.0364861630640011,1
"2024","EATL","Q2","'5-8",0.208471678960794,0.0376986891625981,4
"2020","MED","Q2","'5-8",0.0433108910048316,0.0155796273356982,1
"2018","WATL","Q2","'9+",0.714654316287267,0.033363717350858,13
"2019","WATL","Q2","'9+",0.724857370341636,0.0212974496616177,94
"2020","WATL","Q2","'9+",0.753097358240126,0.0251558675596706,36
"2021","WATL","Q2","'9+",0.693994693382269,0.0344635771433105,17
"2016","WATL","Q2","'9+",0.645766228217528,0.0394675387550859,22
"2015","WATL","Q2","'9+",0.636895741859476,0.0427126475510107,5
"2017","EATL","Q2","'9+",0.22620995394437,0.0330965218595299,13
"2018","EATL","Q2","'9+",0.222011600069986,0.0357487572643175,19
"2019","EATL","Q2","'9+",0.218231066146411,0.0394747331869405,9
"2016","EATL","Q2","'9+",0.220621745590996,0.0344012947365355,50
"2014","EATL","Q2","'9+",0.233458139427427,0.0392038557181575,47
"2015","EATL","Q2","'9+",0.231357074775308,0.0376895941396364,50
"2013","EATL","Q2","'9+",0.237701509787412,0.0400996120093318,55
"2011","EATL","Q2","'9+",0.224170414748771,0.0379225937396802,78
"2012","EATL","Q2","'9+",0.245667175405768,0.0409941727275839,52
"2010","EATL","Q2","'9+",0.231690844997165,0.046421459957006,2
"2023","EATL","Q2","'9+",0.219714457775212,0.0380593234079241,1
"2020","MED","Q2","'9+",0.0460096452055265,0.0100115622122762,25
"2015","MED","Q2","'9+",0.0623698564682708,0.019646623379806,4
"2012","MED","Q2","'9+",0.0545869473132761,0.0186415280791305,1
"2017","WATL","Q2","'0-4",0.672339455236265,0.038119793816569,27
"2018","WATL","Q2","'0-4",0.694497606687583,0.0424321796776307,11
"2021","WATL","Q2","'0-4",0.674422298151512,0.0395008182655284,22
"2016","WATL","Q2","'0-4",0.513596803693568,0.041412540890497,25
"2021","EATL","Q2","'0-4",0.229402779222569,0.0434455931711609,7
"2011","EATL","Q2","'0-4",0.219912977912652,0.0360031467911661,3
